strategy_name,category,time_frame,entry_condition,exit_condition,stop_loss,take_profit,position_sizing,additional_parameters
MovingAverageCrossover,Trend Following,Daily,"SMA(20) crosses above SMA(50)","SMA(20) crosses below SMA(50)",2%,None,1% of equity,"{""fast_period"": 20, ""slow_period"": 50}"
RSIOversold,Mean Reversion,Hourly,"RSI(14) < 30","RSI(14) > 70 OR after 5 days",1.5%,3%,2% of equity,"{""rsi_period"": 14, ""oversold_threshold"": 30, ""overbought_threshold"": 70}"
BollingerBreakout,Volatility,Daily,"Close price crosses above Upper Bollinger Band(20,2)","Close price crosses below Middle Bollinger Band(20) OR after 10 days",2%,None,1% of equity,"{""bb_period"": 20, ""bb_std_dev"": 2}"
MACDDivergence,Momentum,Daily,"MACD line crosses above Signal line AND MACD histogram increasing","MACD line crosses below Signal line OR after 15 days",2.5%,5%,1% of equity,"{""macd_fast"": 12, ""macd_slow"": 26, ""macd_signal"": 9}"
TripleEMAStrategy,Trend Following,4-Hour,"Price > EMA(7) > EMA(14) > EMA(21) AND increasing volume","Price < EMA(7) OR Stop/Target hit",2%,4%,2% of equity,"{""short_ema"": 7, ""mid_ema"": 14, ""long_ema"": 21}"
DualRSIStrategy,Mean Reversion,Daily,"RSI(7) < 20 AND RSI(14) < 30","RSI(7) > 80 OR RSI(14) > 70",1.8%,3.6%,1% of equity,"{""short_rsi"": 7, ""long_rsi"": 14}"
SupportResistanceBreakout,Breakout,Daily,"Price breaks above 90-day resistance level with volume spike","Price drops below recent support OR trailing stop hit",2%,6%,1.5% of equity,"{""lookback_period"": 90, ""volume_threshold"": 2.0}"
WeeklyPivotStrategy,Mean Reversion,Daily,"Price reaches below weekly S1 pivot AND oversold on 4h timeframe","Price reaches weekly pivot OR 3 days pass",1.5%,3%,1% of equity,"{""pivot_type"": ""weekly"", ""oversold_timeframe"": ""4h""}"
GapFillStrategy,Mean Reversion,Daily,"Opening gap down > 1% from previous close","Gap fills OR end of day",1%,None,1% of equity,"{""gap_threshold"": 0.01, ""timeout_bars"": 1}"
ChannelBreakout,Breakout,Daily,"Price breaks above upper channel line of 20-day Donchian Channel","Price falls below middle channel line OR 10 days pass",2%,5%,1% of equity,"{""channel_period"": 20}"
VolumeWeightedMACD,Volume Analysis,Daily,"VWAP crosses above MACD signal line","VWAP crosses below MACD signal line",2.2%,4.4%,1% of equity,"{""vwap_period"": 14, ""macd_fast"": 12, ""macd_slow"": 26, ""macd_signal"": 9}"
SwingHighLowStrategy,Swing Trading,Daily,"New 5-day low after a downtrend AND RSI(2) < 15","New 5-day high OR after 10 days",2%,6%,1% of equity,"{""swing_period"": 5, ""rsi_period"": 2, ""rsi_threshold"": 15}"
ADXTrendStrategy,Trend Following,Daily,"ADX(14) > 25 AND +DI crosses above -DI","ADX(14) < 20 OR -DI crosses above +DI",2.5%,5%,1% of equity,"{""adx_period"": 14, ""adx_threshold"": 25}"
TurtleTradingStrategy,Trend Following,Daily,"Breakout above 55-day high","Breakout below 20-day low",2% of ATR(20),None,1% of equity,"{""entry_period"": 55, ""exit_period"": 20, ""atr_period"": 20}"
IchimokuStrategy,Multi-factor,Daily,"Price above Kumo cloud AND Tenkan-sen crosses above Kijun-sen","Price below Kumo cloud OR Tenkan-sen crosses below Kijun-sen",2%,4%,1% of equity,"{""tenkan_period"": 9, ""kijun_period"": 26, ""senkou_span_b_period"": 52}"
